ch,name,type,unit,min,Q1,median,Q3,max
139,MEG1213,grad,T/m,-0.0004119455919064826,-5.774688707223903e-12,-3.9825439360164847e-13,5.17730711682143e-12,0.00040081596884820224
140,MEG1221,mag,T,-4.623079136635554e-06,-6.418037409833239e-13,-3.0441284157311805e-14,5.707740779495963e-13,4.0373326297647725e-06
141,MEG1222,grad,T/m,-0.00039319482501986105,-4.978179920020606e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.0002846102649942348
142,MEG1223,grad,T/m,-0.00023778892487525327,-5.5755615104230785e-12,-5.973815904024727e-13,4.579925526418957e-12,0.0004144216410263744
143,MEG1231,mag,T,-4.931599702261896e-06,-5.454063411518365e-13,4.3125152556191724e-14,6.341934199439959e-13,5.402399174343206e-06
144,MEG1232,grad,T/m,-0.00036777394878372704,-5.17730711682143e-12,-3.9825439360164847e-13,4.7790527232197816e-12,0.0004225148921404483
145,MEG1233,grad,T/m,-0.00038359343768417926,-4.181671132817309e-12,1.9912719680082423e-13,4.380798329618133e-12,0.0003728716723268206
146,MEG1241,mag,T,-4.915153879672666e-06,-4.794502254776609e-13,1.1415481558991927e-13,7.255172724159314e-13,5.038496646000461e-06
147,MEG1242,grad,T/m,-0.0003616045999288037,-4.181671132817309e-12,0.0,3.982543936016485e-12,0.00030745210252865565
148,MEG1243,grad,T/m,-0.00026255616389748944,-5.376434313622254e-12,-1.9912719680082423e-13,4.978179920020606e-12,0.00039894923680376193
149,MEG1311,mag,T,-5.08490446487504e-06,-5.301856990731806e-13,3.8051605196639756e-14,6.113624568260121e-13,5.003270172084551e-06
150,MEG1312,grad,T/m,-0.0004231121930843361,-5.5755615104230785e-12,-1.9912719680082423e-13,5.376434313622254e-12,0.0004187723060346823
151,MEG1313,grad,T/m,-0.0003841325421117844,-4.181671132817309e-12,0.0,4.380798329618133e-12,0.00042363505809166056
152,MEG1321,mag,T,-4.817673622481135e-06,-6.037521357866841e-13,-3.0441284157311805e-14,5.428695674720605e-13,4.962738317599268e-06
153,MEG1322,grad,T/m,-0.00033161754112886517,-5.376434313622254e-12,-1.9912719680082423e-13,5.17730711682143e-12,0.00042305227869772667
154,MEG1323,grad,T/m,-0.0002782209202131588,-5.774688707223903e-12,-1.9912719680082423e-13,5.376434313622254e-12,0.00039366395117233045
155,MEG1331,mag,T,-5.126255326889934e-06,-5.555534358709404e-13,-2.2830963117983854e-14,5.098915096349727e-13,5.20765513046856e-06
156,MEG1332,grad,T/m,-0.00038205918991325485,-5.774688707223903e-12,-1.9912719680082423e-13,5.5755615104230785e-12,0.0001455571139935855
157,MEG1333,grad,T/m,-0.0004158371992307729,-6.172943100825551e-12,0.0,5.973815904024727e-12,0.0003747513036319425
158,MEG1341,mag,T,-4.573970518831838e-06,-5.124282833147487e-13,4.566192623596771e-14,6.138992305057881e-13,4.1346236385662455e-06
159,MEG1342,grad,T/m,-0.0003454457335686639,-5.5755615104230785e-12,0.0,5.5755615104230785e-12,0.0003481340200217395
160,MEG1343,grad,T/m,-0.0003725813524407185,-4.181671132817309e-12,0.0,4.380798329618133e-12,0.00038856769957747563
161,MEG1411,mag,T,-4.9867659098400595e-06,-7.305908197754833e-13,-6.088256831462361e-14,6.16436004185564e-13,4.724869065359409e-06
162,MEG1412,grad,T/m,-0.00042230441907422815,-5.973815904024727e-12,-3.9825439360164847e-13,5.17730711682143e-12,0.00027811634139717975
163,MEG1413,grad,T/m,-0.00028689829343585456,-4.7790527232197816e-12,0.0,4.978179920020606e-12,0.000297286023119707
164,MEG1421,mag,T,-4.955674024410644e-06,-7.128334040170514e-13,-5.580902095507164e-14,6.24046325224892e-13,2.995507375975812e-06
165,MEG1422,grad,T/m,-0.00041346022405550455,-5.17730711682143e-12,-5.973815904024727e-13,4.181671132817309e-12,0.0002352198427325073
166,MEG1423,grad,T/m,-0.00041792344571180406,-4.7790527232197816e-12,0.0,4.7790527232197816e-12,0.0004070843346973707
167,MEG1431,mag,T,-4.971246402843869e-06,-6.367301936237719e-13,-4.058837887641574e-14,5.783843989889243e-13,3.3905572791354447e-06
168,MEG1432,grad,T/m,-0.0003080870759486518,-5.376434313622254e-12,-3.9825439360164847e-13,4.579925526418957e-12,0.000348203417243715
169,MEG1433,grad,T/m,-0.00037406039617887384,-5.17730711682143e-12,0.0,5.17730711682143e-12,0.0004156379567393251
170,MEG1441,mag,T,-4.8187647953853015e-06,-6.697082514608597e-13,-5.327224727529566e-14,5.707740779495963e-13,4.482138058457749e-06
171,MEG1442,grad,T/m,-0.0004083942079342119,-5.5755615104230785e-12,0.0,5.5755615104230785e-12,0.00022623370765750486
172,MEG1443,grad,T/m,-0.00037384106235065044,-5.376434313622254e-12,0.0,5.376434313622254e-12,0.0003808840345883917
173,MEG1511,mag,T,-5.3008097395271315e-06,-7.382011408148113e-13,-1.5220642078655902e-14,7.965469354496589e-13,4.419890363438959e-06
174,MEG1512,grad,T/m,-0.0004112398946791259,-6.172943100825551e-12,0.0,6.172943100825551e-12,4.551413478832312e-05
175,MEG1513,grad,T/m,-0.00023468718186186343,-5.774688707223903e-12,0.0,5.774688707223903e-12,0.0004171726517499335
176,MEG1521,mag,T,-3.4230675584427557e-06,-8.041572564889868e-13,-2.2830963117983854e-14,8.523559564047305e-13,5.369344599801615e-06
177,MEG1522,grad,T/m,-0.00034709425864568754,-5.973815904024727e-12,0.0,6.172943100825551e-12,0.0003741907147736929
178,MEG1523,grad,T/m,-0.00031790034856063346,-4.978179920020606e-12,0.0,5.17730711682143e-12,0.0003668243856557555
179,MEG1531,mag,T,-4.746429041444483e-06,-9.2845916679801e-13,-3.551483151686377e-14,9.893417351126337e-13,3.454243185308115e-06
180,MEG1532,grad,T/m,-0.0003975101600844037,-5.17730711682143e-12,-3.9825439360164847e-13,4.7790527232197816e-12,0.0003809725390605362
181,MEG1533,grad,T/m,-0.0003077080255810368,-6.5711974944272e-12,-1.9912719680082423e-13,6.3720702976263754e-12,0.00037555098252411886
182,MEG1541,mag,T,-4.5260130762401355e-06,-8.548927300845065e-13,-2.790451047753582e-14,9.183120720789061e-13,5.401144072587079e-06
183,MEG1542,grad,T/m,-0.0003444289172212449,-4.978179920020606e-12,-3.9825439360164847e-13,4.380798329618133e-12,0.00042075681643959594
184,MEG1543,grad,T/m,-0.00015166323936614294,-6.3720702976263754e-12,-1.9912719680082423e-13,6.3720702976263754e-12,0.0003243400175633938
185,MEG1611,mag,T,-4.718396877978608e-06,-7.458114618541392e-13,1.2683868398879919e-14,8.498191827249546e-13,3.822775518411251e-06
186,MEG1612,grad,T/m,-0.0004249555430159464,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0003770166847400885
187,MEG1613,grad,T/m,-0.0004129983437434723,-5.376434313622254e-12,-1.9912719680082423e-13,5.376434313622254e-12,0.0003663993693634126
188,MEG1621,mag,T,-5.005833858396296e-06,-6.798553461799636e-13,6.595611567417558e-14,8.929443352811463e-13,5.327661004403788e-06
189,MEG1622,grad,T/m,-0.0003789822649189111,-5.17730711682143e-12,0.0,5.17730711682143e-12,0.000347294341653033
190,MEG1623,grad,T/m,-0.00041982753043407465,-4.579925526418957e-12,0.0,4.7790527232197816e-12,0.00041519459406183214
191,MEG1631,mag,T,-3.799753181086865e-06,-7.280540460957073e-13,6.849288935395156e-14,9.33532714157562e-13,5.2919404227840785e-06
192,MEG1632,grad,T/m,-0.0003915442282234819,-4.978179920020606e-12,0.0,5.17730711682143e-12,0.00037428845317220746
193,MEG1633,grad,T/m,-0.0002586241516736963,-4.380798329618133e-12,0.0,4.380798329618133e-12,0.00035836952950865116
194,MEG1641,mag,T,-5.401207568032283e-06,-8.016204828092109e-13,7.610321039327951e-15,8.954811089609223e-13,5.08199861345582e-06
195,MEG1642,grad,T/m,-0.0003306478424578803,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.00034448813924259104
196,MEG1643,grad,T/m,-0.00031559345640140633,-5.5755615104230785e-12,0.0,5.5755615104230785e-12,0.00038168202189503125
197,MEG1711,mag,T,-1.6590198979008775e-06,-9.868049614328577e-13,-3.551483151686377e-14,1.0426139823879293e-12,3.738634834879348e-06
198,MEG1712,grad,T/m,-0.00029645008714753715,-5.17730711682143e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.0003090607300822739
199,MEG1713,grad,T/m,-0.00031769531146775876,-6.969451888028848e-12,-1.9912719680082423e-13,6.969451888028848e-12,0.00018719164763282225
200,MEG1721,mag,T,-5.3180752799426026e-06,-8.675765984833864e-13,-2.5367736797759837e-14,9.132385247193541e-13,5.305602199679096e-06
201,MEG1722,grad,T/m,-0.00023241980868524064,-6.172943100825551e-12,0.0,6.172943100825551e-12,0.00023103746748592212
202,MEG1723,grad,T/m,-0.0003219978332945689,-4.7790527232197816e-12,0.0,4.7790527232197816e-12,0.0003925315757370464
203,MEG1731,mag,T,-4.841371837490571e-06,-9.107017510395782e-13,-3.8051605196639756e-14,9.38606261517114e-13,5.327473305982447e-06
204,MEG1732,grad,T/m,-0.00042019606469529937,-6.5711974944272e-12,0.0,6.770324691228024e-12,0.00034876215820157827
205,MEG1733,grad,T/m,-0.00034442776208437625,-5.376434313622254e-12,0.0,5.5755615104230785e-12,0.00021265343236113985
206,MEG1741,mag,T,-4.632809216202987e-06,-1.0121726982306175e-12,-4.3125152556191724e-14,1.0578346244665852e-12,3.99580960199378e-06
207,MEG1742,grad,T/m,-0.0003437797091935855,-6.172943100825551e-12,0.0,6.172943100825551e-12,0.00037409466995198717
208,MEG1743,grad,T/m,-0.0004231090174038015,-7.96508787203297e-12,-1.9912719680082423e-13,7.765960675232145e-12,0.00040919266099936474
209,MEG1811,mag,T,-5.0313950038929485e-06,-5.936050410675802e-13,1.2937545766857517e-13,9.4114303519689e-13,5.398037301082099e-06
210,MEG1812,grad,T/m,-0.00039700200281096216,-3.982543936016485e-12,-1.9912719680082423e-13,3.7834167392156604e-12,0.0004208951489084503
211,MEG1813,grad,T/m,-0.0003655596209019328,-7.168579084829672e-12,-7.965087872032969e-13,6.3720702976263754e-12,0.0004238521587083718
212,MEG1821,mag,T,-5.2559090610208595e-06,-5.225753780338527e-13,1.725006102247669e-13,9.48753356236218e-13,5.425909411886197e-06
213,MEG1822,grad,T/m,-0.00016156222289482518,-3.982543936016485e-12,0.0,3.982543936016485e-12,0.000264962700699886
214,MEG1823,grad,T/m,-0.0002971869057653546,-3.982543936016485e-12,0.0,3.982543936016485e-12,0.0003479072635281282
215,MEG1831,mag,T,-5.0859026751709375e-06,-5.504798885113885e-13,1.5981674182588698e-13,9.48753356236218e-13,3.4545475118993836e-06
216,MEG1832,grad,T/m,-0.00042352763912447355,-4.7790527232197816e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.0004240488898076135
217,MEG1833,grad,T/m,-0.0004057814478382293,-4.380798329618133e-12,1.9912719680082423e-13,4.7790527232197816e-12,0.0004228698431390705
218,MEG1841,mag,T,-4.904330864143359e-06,-6.494140620226518e-13,1.2937545766857517e-13,9.715843193542018e-13,3.271047504271355e-06
219,MEG1842,grad,T/m,-0.0002867159685919198,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0004219323988922962
220,MEG1843,grad,T/m,-0.0003354482260846758,-4.380798329618133e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.0003422894201452452
221,MEG1911,mag,T,-5.085002660847411e-06,-7.559585565732432e-13,6.088256831462361e-14,9.43679808876666e-13,4.889878740187766e-06
222,MEG1912,grad,T/m,-0.00041254163615863135,-5.17730711682143e-12,0.0,5.376434313622254e-12,0.0004122086630278473
223,MEG1913,grad,T/m,-0.0002796908385492663,-4.7790527232197816e-12,1.9912719680082423e-13,5.17730711682143e-12,0.00040297609112099214
224,MEG1921,mag,T,-4.315734398587845e-06,-8.269882196069707e-13,2.5367736797759837e-15,9.183120720789061e-13,4.875509358179285e-06
225,MEG1922,grad,T/m,-0.00029980341224041787,-6.172943100825551e-12,-1.9912719680082423e-13,5.973815904024727e-12,0.0003485494172757138
226,MEG1923,grad,T/m,-0.00041320918320373457,-6.3720702976263754e-12,-1.9912719680082423e-13,6.172943100825551e-12,0.0004141213860870423
227,MEG1931,mag,T,-5.360007788647437e-06,-9.030914300002502e-13,-4.058837887641574e-14,9.23385619438458e-13,3.002441025319928e-06
228,MEG1932,grad,T/m,-0.0003904654785388051,-6.5711974944272e-12,0.0,6.5711974944272e-12,0.00035923192629924066
229,MEG1933,grad,T/m,-0.0003167056813591373,-7.168579084829672e-12,1.9912719680082423e-13,7.566833478431321e-12,0.0004134557578316075
230,MEG1941,mag,T,-4.663546978173801e-06,-8.371353143260746e-13,2.5367736797759837e-15,9.30995940477786e-13,4.932320090177931e-06
