,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1413,4.60166680193631e-24,3.2886400472219265e-24,2.1123329256192135e-24,4.195665166222436e-24,7.522585744753007e-24
MEG1422,3.2754811433291997e-24,1.4288874032043375e-24,1.1070831072652317e-24,3.135943703091736e-24,6.715814296471594e-24
MEG1423,1.3189130768860815e-23,4.940528845955707e-24,3.7776864622212615e-24,6.912190990316631e-24,5.450941142627901e-24
MEG1432,3.900836826255539e-24,1.822108284509258e-24,1.4981805845532042e-24,3.2014908058772886e-24,7.070205146745273e-24
MEG1433,1.43801722904114e-23,5.12194909977454e-24,4.034623793797029e-24,8.507428535623262e-24,6.622848788822822e-24
MEG1442,1.0174156255741491e-23,5.63889773247722e-24,4.7382082996883424e-24,7.035065717410818e-24,8.168465572159729e-24
MEG1443,6.5520772018458175e-24,3.194705724598993e-24,4.112521553028958e-24,6.868587846819041e-24,1.0245245044757777e-23
MEG1512,1.188459161747831e-23,4.431576271416076e-24,3.486910184154339e-24,5.141537397069809e-24,6.726070860286378e-24
MEG1513,7.116630896049168e-24,2.967525645960905e-24,2.8155039012792163e-24,4.867174191303394e-24,8.636826700407463e-24
MEG1522,1.0122491285477814e-23,4.1606971454826165e-24,3.946256519211442e-24,5.162049788813635e-24,6.5966577792694204e-24
MEG1523,4.922525558486154e-24,2.9652575702006176e-24,2.1390917775624075e-24,4.781852245678101e-24,7.904595684536177e-24
MEG1532,4.460643012711447e-24,1.9594295425675903e-24,1.7831862818863707e-24,4.461315923068002e-24,8.2247231745079e-24
MEG1533,1.3796639349896198e-23,5.4102729758636024e-24,3.934104564840016e-24,9.741907114648218e-24,7.876902974976843e-24
MEG1542,2.8924677320875557e-24,1.638885979577687e-24,1.3936431066549033e-24,3.2095728561751167e-24,5.5200953028733684e-24
MEG1543,1.4205385444018254e-23,5.074666118004187e-24,3.926398743363524e-24,9.699618489103274e-24,6.835844642636544e-24
MEG1612,4.6401053371556426e-24,2.9268761138965216e-24,2.6153148871267015e-24,4.0853476453656416e-24,5.010564890394489e-24
MEG1613,7.836918574944196e-24,2.7739690499052567e-24,2.9100844699530875e-24,4.265753350288939e-24,6.045608979381321e-24
MEG1622,6.308843441663982e-24,3.0861040064211757e-24,2.3064107598753534e-24,4.9000199604367484e-24,5.557560086854022e-24
MEG1623,4.13638887525353e-24,2.3997789009584633e-24,2.6044189474811535e-24,3.833600927744093e-24,6.161717958189999e-24
MEG1632,6.4223064150319304e-24,3.3020278134932823e-24,2.370960482202902e-24,4.902389715555668e-24,5.6987858629720866e-24
MEG1633,3.644648744001897e-24,2.3305223282231075e-24,2.4769137445571977e-24,3.492317449056619e-24,5.189301869768592e-24
MEG1642,4.3615091228062285e-24,3.168394767844197e-24,2.6837756388280308e-24,4.450592524808204e-24,5.9221404989114144e-24
MEG1643,7.012149780457823e-24,3.543586771912318e-24,3.860972869223411e-24,5.2330142599371485e-24,7.458030991127067e-24
MEG1712,6.673804944588052e-24,3.134859369413482e-24,3.8556069718423904e-24,7.741329334758636e-24,8.188875704677794e-24
MEG1713,1.327025887226588e-23,4.7988986828321736e-24,4.115857676744401e-24,1.0944762804193184e-23,1.594466565158934e-23
MEG1722,8.649462816289847e-24,4.45799425459318e-24,4.366233560073181e-24,5.3004622336426675e-24,7.257352725638521e-24
MEG1723,4.4447883298231915e-24,2.798178610348738e-24,2.2888480532610285e-24,4.8778123916217075e-24,7.601731855607908e-24
MEG1732,7.998818985289694e-24,4.82692735876048e-24,5.145665803682407e-24,7.805780900998693e-24,1.3563749012888593e-23
MEG1733,6.884404863959288e-24,4.7150845906210954e-24,4.356825285903624e-24,7.218627028430672e-24,1.1731218734775167e-23
MEG1742,9.144502934752418e-24,4.60799519780094e-24,7.504660828050702e-24,1.4764193665937703e-23,2.0272880387638946e-23
MEG1743,1.4883917038995586e-23,6.0034726305477526e-24,4.834745808399081e-24,1.302369758824382e-23,2.7409081390500267e-23
MEG1812,2.576045401684326e-24,1.655065491994772e-24,1.9327581672296212e-24,2.6119347164178105e-24,3.885521419486758e-24
MEG1813,2.2297537983632436e-23,7.003946173025123e-24,3.820097021549926e-24,6.69053773786764e-24,6.220153468673283e-24
MEG1822,3.935841570871858e-24,2.0170500949156993e-24,1.7585234842001204e-24,3.403096375301529e-24,4.587046459999428e-24
MEG1823,1.8179063794925292e-24,1.3603492379117388e-24,1.250622734595416e-24,2.638855530422633e-24,5.106197908861537e-24
MEG1832,2.1491818721096177e-24,1.6220877288580564e-24,1.6894365483940535e-24,3.157041971438653e-24,6.859563815870152e-24
MEG1833,2.7917493983205152e-24,1.7810201448103684e-24,2.0327814067911e-24,3.840264033464739e-24,6.848928103171578e-24
