,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0243,1.6817536299348484e-24,5.231212634596735e-25,4.329301563344882e-25,2.0980048088770584e-25,8.147854703730303e-26
MEG0312,1.0229856229684326e-24,4.0805972007103024e-25,2.7773136143083165e-25,1.8588902902306227e-25,9.84002836918325e-26
MEG0313,1.3040865836102678e-24,4.218633568878803e-25,2.5860360018448784e-25,1.7583256010154846e-25,7.738558117529041e-26
MEG0322,1.2895735002002333e-24,4.167349437341339e-25,2.7489203571303355e-25,1.6606595440704935e-25,6.06958145872151e-26
MEG0323,5.896619205799542e-25,2.7767344259567404e-25,2.1728075787243013e-25,1.4471875266453634e-25,7.229208869779249e-26
MEG0332,5.493914131713216e-25,2.803514810986601e-25,2.0299862984880053e-25,1.107290816703151e-25,5.487036156041915e-26
MEG0333,6.668867285661132e-25,3.3345404393442415e-25,2.098700796360935e-25,1.5359949807340333e-25,6.820663846858772e-26
MEG0342,8.639360939958578e-25,3.741399830284489e-25,2.49838566377055e-25,1.5558909676905452e-25,8.154769313779464e-26
MEG0343,1.6529367563933436e-24,5.957837069246094e-25,3.9715986125372395e-25,2.0170841310610047e-25,8.666678050849651e-26
MEG0412,5.272189882968142e-25,3.3381829269710436e-25,2.3478712454643497e-25,1.422196339252402e-25,7.687801813346666e-26
MEG0413,9.462613311156445e-25,3.8315167485307053e-25,2.722441828764338e-25,1.7357869285013252e-25,6.694269570109806e-26
MEG0422,7.647709312198698e-25,3.7158043347745916e-25,3.2357677279948414e-25,2.0514284261800997e-25,1.138182645885532e-25
MEG0423,4.849055790017622e-25,2.8864404294959086e-25,2.442633325016618e-25,1.4176456396208754e-25,9.119880060616062e-26
MEG0432,8.051747268992654e-25,3.7119412144656876e-25,3.1253872399925514e-25,1.9824314007279845e-25,9.32952132587387e-26
MEG0433,4.372080214294033e-25,2.602653716857699e-25,2.1843573244393945e-25,1.4059850945197447e-25,6.968617716951736e-26
MEG0442,5.469040269515272e-25,3.058914199205778e-25,2.869202094797773e-25,1.597657374087955e-25,8.263344762087428e-26
MEG0443,1.0730445872648264e-24,4.557224878571127e-25,3.2741236186521863e-25,2.2421324308804717e-25,8.224892615869116e-26
MEG0512,6.961244841132201e-25,3.1287652644072884e-25,2.1799207677401153e-25,1.3611984264898105e-25,5.962929912067419e-26
MEG0513,8.608061080950498e-25,2.979115138853783e-25,1.7361966244037128e-25,1.381717573336353e-25,6.525965374300123e-26
MEG0522,6.670276203127785e-25,3.513060934697531e-25,2.591897492854095e-25,1.6113145825936751e-25,8.017242205706386e-26
MEG0523,9.283847315436312e-25,3.761284434216777e-25,2.5638264583315966e-25,1.821855009665135e-25,8.83773420663303e-26
MEG0532,6.402328265894398e-25,3.2591855630449516e-25,1.6475394775207383e-25,1.281375549427776e-25,6.409745560629788e-26
MEG0533,4.662492875314858e-25,2.538279691653987e-25,1.80807979441319e-25,1.270670848844762e-25,6.633747849100886e-26
MEG0542,9.012657361428673e-25,3.5524673327563546e-25,2.427018651516774e-25,1.4254466088832235e-25,7.503197356035419e-26
MEG0543,6.174672010244514e-25,3.0558485914021326e-25,2.091550170187169e-25,1.4301350503990609e-25,7.022112954637933e-26
MEG0612,4.879108137982449e-25,2.542279219485025e-25,1.821740744101779e-25,1.280560612088816e-25,6.760095548387462e-26
MEG0613,4.205721797882366e-25,2.1155023557530693e-25,1.4781153410816838e-25,1.0417263960801404e-25,6.440209061936399e-26
MEG0622,4.282536182451942e-25,2.641264227446834e-25,1.807595110129604e-25,1.350600259946976e-25,7.796408691183815e-26
MEG0623,4.773708859827249e-25,2.6266189868057315e-25,1.9218074945581695e-25,1.3656671153727674e-25,7.313991906267423e-26
MEG0632,5.669797282826725e-25,3.126291886240547e-25,1.985248235161296e-25,1.1781636024449253e-25,5.52256944616473e-26
MEG0633,3.983022150816901e-25,2.46791579076831e-25,2.0182405478790668e-25,1.2756125900248235e-25,7.240918926506156e-26
MEG0642,5.20704650330973e-25,2.955648788434012e-25,1.999303563014213e-25,1.2018444962632032e-25,7.085745576832023e-26
MEG0643,5.455452398194862e-25,3.2595145463991877e-25,2.0652167994991662e-25,1.399725274836378e-25,7.31540881204119e-26
MEG0712,3.9929839342715097e-25,2.6301857285389336e-25,1.7799577656347762e-25,1.2407314629758788e-25,6.791359456865466e-26
MEG0713,6.2737572836534875e-25,3.542850100640776e-25,2.633908317624081e-25,1.4846490352143871e-25,7.819029209325846e-26
MEG0722,5.709038371525334e-25,3.4909597086693327e-25,2.584783479213052e-25,1.7155061897999015e-25,1.0549646063900792e-25
MEG0723,6.57165171044396e-25,3.938408888619995e-25,3.156707723761461e-25,1.6669313964062448e-25,9.09324264889013e-26
MEG0732,5.687994678844919e-25,3.1549879478553934e-25,3.1509422067953216e-25,1.2064255329546579e-25,4.979287415969006e-26
MEG0733,3.269349322460467e-25,2.1042446291732054e-25,2.026375141939052e-25,1.205503935380474e-25,6.281022226120972e-26
MEG0742,5.9563130918192795e-25,3.0607369556418884e-25,2.796541436094808e-25,1.2912702706782658e-25,5.880452019435047e-26
MEG0743,3.640490003126395e-25,2.371897301355956e-25,2.2066802510962515e-25,1.2034446813576162e-25,7.158798744220078e-26
MEG0812,5.591285856454835e-25,3.071835833951626e-25,2.021931740593565e-25,1.3007973779999397e-25,6.21662663073645e-26
MEG0813,1.0121951475783787e-24,4.375425855354657e-25,3.549422301540157e-25,2.708581653174786e-25,1.602703223305588e-25
MEG0822,8.40667337880399e-25,3.9906038494955e-25,2.695429198981825e-25,1.7093948018925865e-25,9.168053936629149e-26
MEG0823,4.929143859548709e-25,2.848953832706517e-25,1.9607235879537678e-25,1.3145992656970636e-25,7.078020401077741e-26
MEG0912,4.981786986052787e-25,2.749192843195964e-25,1.6719087944829013e-25,1.1655671557503342e-25,5.834800539842371e-26
MEG0913,8.359749209528076e-25,4.104008456968914e-25,2.6396161545939423e-25,1.7843412296443074e-25,8.635605780738779e-26
MEG0922,6.769382730288306e-25,3.21184888998662e-25,1.966870088734087e-25,1.4229399822134007e-25,7.694789474026247e-26
MEG0923,8.091369627040661e-25,4.497664233145432e-25,2.3669916196214707e-25,1.7857509231228213e-25,9.007912643225408e-26
MEG0932,7.556608447099177e-25,3.9498289058290463e-25,2.174943765940212e-25,1.3031168445039729e-25,6.695529663543793e-26
MEG0933,4.723228565043319e-25,2.7187553923100936e-25,1.7069535399945455e-25,1.2231247326860672e-25,6.886157771525576e-26
MEG0942,6.014743416670393e-25,3.028890700185382e-25,1.8059221796967016e-25,1.1891315777876956e-25,6.270855984648565e-26
MEG0943,4.245696899692446e-25,2.5670661690220464e-25,1.9341618319807556e-25,1.401833199506599e-25,8.367321708841263e-26
MEG1012,5.494309870893772e-25,3.1243315486289883e-25,2.111902226731208e-25,1.5494238484299613e-25,8.06661052174588e-26
MEG1013,6.334080995908903e-25,3.3054686175244296e-25,2.2329343891174052e-25,1.558552629206298e-25,8.549648396309795e-26
MEG1022,5.0017808492115e-25,2.979906618486276e-25,2.0453470501376781e-25,1.2068983188295681e-25,6.163216171241427e-26
MEG1023,4.652314021597621e-24,1.312330480019478e-24,4.99813230103524e-25,3.0975983401611936e-25,1.3892564030273382e-25
