,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1332,1.2523967234584004e-24,5.4643648342916455e-25,5.608201199490452e-25,1.8861343043200903e-25,6.613935935788448e-26
MEG1333,1.5616913731523428e-24,6.232322128927489e-25,5.8228952483672585e-25,1.9671878748686746e-25,6.099149978629677e-26
MEG1342,1.309804972711681e-24,5.366389320119253e-25,4.566058229841683e-25,1.5695386516253392e-25,3.9430399345994355e-26
MEG1343,6.662413965208726e-25,3.2490946479279276e-25,3.4755618603745383e-25,1.1745991175000054e-25,3.4196572264646076e-26
MEG1412,2.8677667839689976e-24,5.500229967068155e-25,3.936489155612342e-25,1.5518901058578465e-25,4.6108289923089176e-26
MEG1413,9.57776665467445e-25,2.609734520885581e-25,2.7931712948204404e-25,1.1596925366115252e-25,6.00346285052833e-26
MEG1422,1.2362933475894694e-24,1.7918028858039194e-25,1.5073134059886275e-25,8.398439677278626e-26,4.881714334563571e-26
MEG1423,2.034172941371594e-24,5.327357511830777e-25,4.453956666772156e-25,1.9222436190226565e-25,4.1577061002164464e-26
MEG1432,1.2094758800963178e-24,2.262228905617362e-25,1.6768046291848036e-25,8.333656160829759e-26,5.0909928670480246e-26
MEG1433,2.267763332489697e-24,6.05270286101815e-25,5.23642824365658e-25,2.255123154643681e-25,4.6266619633754884e-26
MEG1442,2.208785694546503e-24,6.199951948808499e-25,6.122643953900494e-25,1.9106804002564947e-25,6.540629760421763e-26
MEG1443,1.5187790917401232e-24,4.039775290422198e-25,4.243002198673395e-25,1.877028487847851e-25,8.3997310623564e-26
MEG1512,1.7043370498138595e-24,4.238294662278745e-25,3.8455076663553136e-25,1.409719563060602e-25,4.254854304591817e-26
MEG1513,1.5149239903572787e-24,4.161783104209862e-25,3.234838883259145e-25,1.394283143769806e-25,6.025377479205383e-26
MEG1522,1.770039070839168e-24,4.452395855053392e-25,4.705349484494516e-25,1.5318913972648652e-25,4.1495614967925036e-26
MEG1523,9.802687618676345e-25,3.3467583237945426e-25,2.6171605477535326e-25,1.3191283024988114e-25,5.435703641276257e-26
MEG1532,7.593544905986136e-25,2.0308266159342416e-25,2.0176132286280198e-25,1.3079886726103944e-25,5.811723560014348e-26
MEG1533,2.2624864913590113e-24,4.663970110183518e-25,4.77426940352308e-25,2.6856485034050075e-25,5.703826644538098e-26
MEG1542,6.803896648093394e-25,2.0000771688289943e-25,1.4866139609185488e-25,8.590221175891997e-26,3.4853941365918877e-26
MEG1543,2.299415315607468e-24,4.959594329974962e-25,4.471490844127383e-25,2.832136193317533e-25,4.9407290444983637e-26
MEG1612,9.346845035425099e-25,3.53408276744275e-25,3.1902826567427454e-25,1.2554872547408401e-25,3.6572144700938173e-26
MEG1613,1.1350369768116286e-24,3.1397246822919793e-25,3.4038671883105226e-25,1.252199350842457e-25,4.2326960292831907e-26
MEG1622,9.574498962287878e-25,3.6905969927250334e-25,3.257822945645278e-25,1.4736019730720534e-25,4.0871341007645985e-26
MEG1623,7.117518007958697e-25,3.1062113510695653e-25,2.9879036376449573e-25,1.1841250281260873e-25,4.3915983520053106e-26
MEG1632,9.160256017122054e-25,3.5567807914536896e-25,3.6912302029779496e-25,1.5297703417006874e-25,4.1347306520627395e-26
MEG1633,6.85000624234987e-25,2.8399260896387774e-25,2.846313184529174e-25,1.0212911398168843e-25,3.6876233526010683e-26
MEG1642,7.468459417993202e-25,3.4235449908916043e-25,3.609402029096314e-25,1.2485352866100492e-25,3.9128602525411073e-26
MEG1643,1.2541782220990366e-24,3.6502014244596727e-25,4.982126390239371e-25,1.6488767379875505e-25,5.248774558531983e-26
MEG1712,9.11613967286229e-25,3.0662971835393947e-25,4.191761110861677e-25,2.1821320525518087e-25,5.682280861421482e-26
MEG1713,2.0621596274871907e-24,4.536018477369872e-25,5.138590545128904e-25,3.2066636175398154e-25,1.2239595168001505e-25
MEG1722,1.4440548601172648e-24,4.148329282554153e-25,4.903043616741561e-25,1.6092887132597708e-25,5.0094121523125515e-26
MEG1723,6.987895025049016e-25,2.5147694410786254e-25,2.69134169778655e-25,1.2988851492347231e-25,5.414252042403749e-26
MEG1732,1.4408041401820106e-24,4.545254797804408e-25,6.285683736345636e-25,2.2647944735773264e-25,9.928444107790054e-26
MEG1733,9.538456280617387e-25,3.993222611503311e-25,5.601512871873359e-25,2.3643460785231997e-25,8.656929033328662e-26
MEG1742,1.139437429275452e-24,4.381915991185491e-25,8.48232450501515e-25,4.477447222935324e-25,1.5877130071505662e-25
MEG1743,2.2732476296737367e-24,5.778127291812819e-25,6.136892751699703e-25,3.9737978568096687e-25,2.090019061767898e-25
MEG1812,4.694046799469393e-25,1.9909370028469825e-25,1.999298210499474e-25,8.005358330940702e-26,2.7851845913260417e-26
MEG1813,3.762536779475733e-24,6.721111554907928e-25,3.765333488657805e-25,1.5161057261471086e-25,4.0426267020214376e-26
MEG1822,5.3470470417208435e-25,2.3164179162040086e-25,2.178798485702178e-25,9.640794528128237e-26,3.3451428846738826e-26
MEG1823,3.5193103189602586e-25,1.5805478300029488e-25,1.7340431062565725e-25,7.813333823292703e-26,3.5382941862751917e-26
MEG1832,3.294169583902095e-25,1.7702920548249935e-25,2.0695326004475455e-25,9.589347951264763e-26,4.7804546390223113e-26
MEG1833,4.173951981737877e-25,1.9352343475307992e-25,2.7870905897908097e-25,1.0450854132141015e-25,4.891444934771074e-26
MEG1842,4.839677605328354e-25,2.3924277783128814e-25,2.567034946640354e-25,1.1059813903307627e-25,4.7660039105830007e-26
MEG1843,5.352111220909573e-25,1.9425893405617522e-25,2.977584820814516e-25,9.531274339460837e-26,3.270051673474738e-26
MEG1912,9.758875332908944e-25,4.102726450451944e-25,4.661627563045492e-25,1.6812832763938678e-25,3.999675562557331e-26
MEG1913,7.063749617790827e-25,3.5235079874139337e-25,4.287441711858916e-25,1.5091421834641223e-25,5.367990491411545e-26
MEG1922,1.1692398036369475e-24,5.900792730945172e-25,1.087391553284502e-24,3.2545449069426976e-25,1.1079128780811304e-25
MEG1923,1.4834862621137505e-24,5.782237871221908e-25,1.2430028969620481e-24,2.681564831809416e-25,5.699440656840461e-26
MEG1932,1.6509985940215872e-24,6.133415776822004e-25,7.24859277103923e-25,2.6240073143777626e-25,7.912630143461713e-26
MEG1933,1.111573753591237e-24,4.9027846215494895e-25,1.0231998288431948e-24,5.472103654521983e-25,3.780261938938487e-25
MEG1942,8.990020639472807e-25,4.4441285836980965e-25,4.823978950855151e-25,1.8986687532115753e-25,5.996803608950326e-26
MEG1943,1.3057777151479792e-24,4.601901591001708e-25,7.31641623602979e-25,2.0847331635630643e-25,6.746582459648909e-26
MEG2012,5.492804034062177e-25,2.4325280454148113e-25,4.063671151123576e-25,1.230315540007593e-25,5.026376088626604e-26
MEG2013,6.070161716300935e-25,2.5758437226335415e-25,3.4503301744399985e-25,1.0783258407937134e-25,3.986013690622512e-26
MEG2022,7.9482795763973e-25,2.7190308528982554e-25,6.966218372499723e-25,1.2881626471795418e-25,4.6551975467790695e-26
